company_id,company
1,Choice Taxi Association
2,Taxi Affiliation Services
3,5 Star Taxi
4,Flash Cab
5,City Service
6,Sun Taxi
7,Choice Taxi Association Inc
8,Medallion Leasin
9,Blue Ribbon Taxi Association
10,Tac - Yellow Cab Association
11,Taxicab Insurance Agency Llc
12,Globe Taxi
13,Chicago Independents
14,Tac - Checker Cab Dispatch
15,Chicago City Taxi Association
16,Patriot Taxi Dba Peace Taxi Associat
17,"Taxicab Insurance Agency, LLC"
18,4053 - 40193 Adwar H. Nikola
19,Wolley Taxi
20,312 Medallion Management Corp
21,Top Cab
22,Tac - American United Dispatch
23,Setare Inc
24,Star North Taxi Management Llc
25,U Taxicab
26,Tac - Blue Diamond Dispatch
27,2733 - 74600 Benny Jona
28,Chicago Taxicab
29,5167 - 71969 5167 Taxi Inc
30,Koam Taxi Association
31,3556 - 36214 RC Andrews Cab
32,6574 - Babylon Express Inc.
33,Tac - Yellow Non Color
34,Metro Jet Taxi A.
